Index,Call Number,Title,Barcode,Notes,Image_barcode,Image_1,Image_2,Image_3,Year,Author,Interventions,Location-Building,Location-Shelf,Class,Subclass,Decade2,Language,Location,,
BMC-BR-0098,BR758 .F55 (vol. 2),The history of the Revival and progress of independency in England : since the period of the Reformation,3.1796E+13,,B_Images/BMC-BR-0098.Image_barcode.002955.jpg,B_Images/BMC-BR-0098.Image_1.002944.jpg,B_Images/BMC-BR-0098.Image_2.003030.jpg,,1847-1849.,"Fletcher, Joseph, 1816-1876.",Yes,Canaday Library,Stacks (Monographs),B,BR,1840s,English,enk,,
BMC-BV-0016,BV600.A2 F5 1847 (vol. 3),"Of the church, five books.",3.1796E+13,,B_Images/BMC-BV-0016.Image_barcode.175815.jpg,B_Images/BMC-BV-0016.Image_1.175659.jpg,,,1847-1852.,"Field, Richard, 1561-1616.",Yes,Canaday Library,Stacks (Monographs),B,BV,1840s,English,enk,,
BMC-D-0063,D304 .M2 (vol. 4),"Diaries and correspondence of James Harris, first earl of Malmesbury: containing an account of his missions to the courts of Madrid, Frederick the Great, Catherine the Second, and the Hague and his special missions to Berlin, Brunswick, and the Frenc republic /",3.1796E+13,"Sword drawings, skimming I counted 4",B_Images/BMC-D-0063.Image_barcode.151054.jpg,B_Images/BMC-D-0063.Image_1.151106.jpg,B_Images/BMC-D-0063.Image_2.151343.jpg,,1844,"Malmesbury, James Harris, Earl of, 1746-1820.",Yes,Canaday Library,Stacks (Monographs),D,D,1840s,English,enk,,
BMC-DA-0004,DA20 .R91 ser.1 v.30,"The Thornton romances : the early English metrical romances of Perceval, Isumbras, Eglamour, and Degrevant, selected from manuscripts at Lincoln and Cambridge /",31796007408202,Marginalia is Outside time period (1923) but book gifted to person by Jrr Tolkien ,B_Images/BMC-DA-0004.Image_barcode.173128.jpg,B_Images/BMC-DA-0004.Image_1.173138.jpg,,,1844.,,Yes,Canaday Library,Stacks (Monographs),D,DA,1840s,English,enk,,
BMC-BV-0031,BV4541 .S6 1846,Letters to young men : founded on the history of Joseph /,3.17961E+13,,B_Images/BMC-BV-0031.Image_barcode.160604.jpg,B_Images/BMC-BV-0031.Image_1.160433.jpg,B_Images/BMC-BV-0031.Image_2.160444.jpg,,1846,"Sprague, William B. 1795-1876. (William Buell),",Yes,Canaday Library,Stacks (Monographs),B,BV,1840s,English,nyu,,
BMC-DP-0001,DP17 .M18 (vol. 10),Diccionario geográfico-estadístico-histórico de España y sus posesiones de ultramar .,31796002137715,,B_Images/BMC-DP-0001.Image_barcode.235521.jpg,B_Images/BMC-DP-0001.Image_1.235549.jpg,,,1845-50.,"Madoz, Pascual, 1806-1870.",Yes,Canaday Library,Stacks (Monographs),D,DP,1840s,Spanish,sp ,,
BMC-DP-0002,DP17 .M18 (vol. 9),Diccionario geográfico-estadístico-histórico de España y sus posesiones de ultramar .,31796002138002,,,,,,1845-50.,"Madoz, Pascual, 1806-1870.",Yes,Canaday Library,Stacks (Monographs),D,DP,1840s,Spanish,sp ,,
BMC-DP-0003,DP17 .M18 (vol. 5),Diccionario geográfico-estadístico-histórico de España y sus posesiones de ultramar .,31796002137764,,,,,,1845-50.,"Madoz, Pascual, 1806-1870.",Yes,Canaday Library,Stacks (Monographs),D,DP,1840s,Spanish,sp ,,
BMC-DP-0004,DP17 .M18 (vol. 14),Diccionario geográfico-estadístico-histórico de España y sus posesiones de ultramar .,31796002137954,,,,,,1845-50.,"Madoz, Pascual, 1806-1870.",Yes,Canaday Library,Stacks (Monographs),D,DP,1840s,Spanish,sp ,,
BMC-DP-0005,DP17 .M18 (vol. 12),Diccionario geográfico-estadístico-histórico de España y sus posesiones de ultramar .,31796002137830,,,,,,1845-50.,"Madoz, Pascual, 1806-1870.",Yes,Canaday Library,Stacks (Monographs),D,DP,1840s,Spanish,sp ,,
